SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
AHLWEST,Asian Hotels (West) Limited,EQ,05-AUG-2010,10,1,INE915K01010,10
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1
ALBK,Allahabad Bank,EQ,29-NOV-2002,10,1,INE428A01015,10
ALCHEM,Alchemist Limited,EQ,31-JUL-2007,10,1,INE964B01033,10
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,5,1,INE150B01021,5
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6,1,INE326B01027,6
ALOKTEXT,Alok Industries Limited,EQ,10-APR-1996,10,1,INE270A01011,10
ALPA,Alpa Laboratories Limited,BE,06-AUG-2007,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10
ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10
AMARAJABAT,Amara Raja Batteries Limited,EQ,05-SEP-2003,1,1,INE885A01032,1
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,2,1,INE098F01023,2
AMTEKAUTO,Amtek Auto Limited,EQ,02-MAR-2005,2,1,INE130C01021,2
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2
ANDHRABANK,Andhra Bank,EQ,04-APR-2001,10,1,INE434A01013,10
ANDHRACEMT,Andhra Cements Limited,BE,08-NOV-2010,10,1,INE666E01012,10
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,10,1,INE715B01013,10
ANGIND,ANG Industries Limited,EQ,12-FEB-2007,10,1,INE017D01010,10
ANIKINDS,Anik Industries Limited,BE,21-MAY-2008,10,1,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10
ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,27-JAN-2006,5,1,INE436A01026,5
ANSALHSG,Ansal Housing and Construction Limited,EQ,06-OCT-2006,10,1,INE880B01015,10
ANTGRAPHIC,Antarctica Limited,BE,14-JUN-2000,1,1,INE414B01021,1
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,5,1,INE116A01024,5
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,10,1,INE702C01019,10
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10
ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2
ARCOTECH,Arcotech Limited,EQ,16-APR-2014,10,1,INE574I01027,10
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10
ARIHANT,Arihant Foundations & Housing Limited,BE,26-DEC-2006,10,1,INE413D01011,10
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10
ARROWTEX,Arrow Textiles Limited,EQ,11-MAY-2009,10,1,INE933J01015,10
ARSHIYA,Arshiya Limited,BE,14-DEC-2009,2,1,INE968D01022,2
ARSSINFRA,ARSS Infrastructure Projects Limited,EQ,03-MAR-2010,10,1,INE267I01010,10
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10
ASIL,Amit Spinning Industries Limited,BE,17-OCT-2005,5,1,INE988A01026,5
ASPINWALL,Aspinwall and Company Limited,BE,14-JUN-2016,10,1,INE991I01015,10
ASSAMCO,Assam Company India Limited,EQ,29-SEP-2006,1,1,INE442A01024,1
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10
ASTRAL,Astral Poly Technik Limited,EQ,20-MAR-2007,1,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2
ATLANTA,Atlanta  Limited,EQ,25-SEP-2006,2,1,INE285H01022,2
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE,26-APR-2000,10,1,INE446A01017,10
ATNINTER,ATN International Limited,BE,01-SEP-2006,4,1,INE803A01027,4
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10
AUTOLITIND,Autolite (India) Limited,EQ,31-MAY-1995,10,1,INE448A01013,10
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2
AXISCADES,AXISCADES Engineering Technologies Limited,EQ,21-DEC-2000,5,1,INE555B01013,5
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10
BAFNAPHARM,Bafna Pharmaceuticals Limited,EQ,12-NOV-2012,10,1,INE878I01014,10
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10
BAJAJCORP,Bajaj Corp Limited,EQ,18-AUG-2010,1,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,5,1,INE918I01018,5
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
BANARBEADS,Banaras Beads Limited,BE,31-JAN-2001,10,1,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2
BANG,Bang Overseas Limited,BE,20-FEB-2008,10,1,INE863I01016,10
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,10,1,INE629D01012,10
BARTRONICS,Bartronics India Limited,EQ,12-JAN-2006,10,1,INE855F01034,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,10,1,INE186H01014,10
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,10,1,INE464A01028,10
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2
BEARDSELL,Beardsell Limited,BE,13-JAN-2015,10,1,INE520H01014,10
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1
BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5
BGRENERGY,BGR Energy Systems Limited,EQ,03-JAN-2008,10,1,INE661I01014,10
BHARATFIN,Bharat Financial Inclusion Limited,EQ,16-AUG-2010,10,1,INE180K01011,10
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2
BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10,1,INE561C01019,10
BHARATIDIL,Bharati Defence and Infrastructure Limited,EQ,30-DEC-2004,10,1,INE673G01013,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2
BHUSANSTL,Bhushan Steel Limited,EQ,21-NOV-2003,2,1,INE824B01021,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,10,1,INE412U01017,10
BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
BILENERGY,Bil Energy Systems Limited,EQ,15-FEB-2011,1,1,INE607L01029,1
BILPOWER,Bilpower  Limited,EQ,29-JAN-2007,10,1,INE952D01018,10
BINANIIND,Binani Industries Limited,EQ,27-SEP-2006,10,1,INE071A01013,10
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-AUG-1996,10,1,INE143A01010,10
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10
BLBLIMITED,BLB Limited,BE,31-MAY-2000,1,1,INE791A01024,1
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,INE416D01022,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1,1,INE350H01032,1
BLS,BLS International Services Limited,EQ,14-JUN-2016,10,1,INE153T01019,10
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,INE032A01023,2
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10
BPL,BPL Limited,EQ,14-JUN-1995,10,1,INE110A01019,10
BRFL,Bombay Rayon Fashions Limited,EQ,05-DEC-2005,10,1,INE589G01011,10
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,2,1,INE216A01022,2
BROOKS,Brooks Laboratories Limited,EQ,05-SEP-2011,10,1,INE650L01011,10
BSELINFRA,BSEL Infrastructure Realty Limited,EQ,07-FEB-2001,10,1,INE395A01016,10
BSL,BSL Limited,EQ,27-JUL-1995,10,1,INE594B01012,10
CADILAHC,Cadila Healthcare Limited,EQ,18-APR-2000,1,1,INE010B01027,1
CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10
CANDC,C & C Constructions Limited,BE,26-FEB-2007,10,1,INE874H01015,10
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,10,1,INE477A01012,10
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,10,1,INE068L01016,10
CAPF,Capital First Limited,EQ,01-FEB-2008,10,1,INE688I01017,10
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1
CAREERP,Career Point Limited,EQ,06-OCT-2010,10,1,INE521J01018,10
CARERATING,Credit Analysis And Research Limited,EQ,26-DEC-2012,10,1,INE752H01013,10
CASTEXTECH,Castex Technologies Limited,EQ,27-JUN-2005,2,1,INE068D01021,2
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5
CCCL,Consolidated Construction Consortium Limited,EQ,15-OCT-2007,2,1,INE429I01024,2
CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-FEB-2015,2,1,INE652F01027,2
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2
CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10
CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ,18-OCT-2010,10,1,INE209L01016,10
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10
CELESTIAL,Celestial Biolabs Limited,EQ,17-JUL-2007,10,1,INE221I01017,10
CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10,1,INE485A01015,10
CENTEXT,Century Extrusions Limited,EQ,20-JUL-2004,1,1,INE281A01026,1
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10
CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-JUN-2013,10,1,INE345B01019,10
CESC,CESC Limited,EQ,08-FEB-1995,10,1,INE486A01013,10
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,2,1,INE180C01026,2
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10
CHEMFALKAL,Chemfab Alkalis Limited,EQ,18-MAY-2006,5,1,INE479E01028,5
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,10,1,INE121A01016,10
CHROMATIC,Chromatic India Limited,EQ,29-MAY-2012,10,1,INE662C01015,10
CIMMCO,Cimmco Limited,BE,08-SEP-2011,10,1,INE184C01028,10
CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5
CINEVISTA,Cinevista Limited,BE,03-MAY-2000,2,1,INE039B01026,2
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2
CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-JUN-1995,10,1,INE492A01029,10
CNOVAPETRO,CIL Nova Petrochemicals Limited,EQ,01-JAN-2014,10,1,INE672K01025,10
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10,1,INE335K01011,10
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1
COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2,1,INE453B01029,2
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,10,1,INE111A01017,10
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10
CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10,1,INE792I01017,10
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1
CORPBANK,Corporation Bank,EQ,01-DEC-1997,2,1,INE112A01023,2
COSMOFILMS,Cosmo Films Limited,EQ,25-MAY-1995,10,1,INE757A01017,10
COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,1,1,INE695B01025,1
CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,5,1,INE230B01021,5
CREST,Crest Ventures Limited,BE,27-DEC-2006,10,1,INE559D01011,10
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2
CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10,1,INE627H01017,10
CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1
CUBEXTUB,Cubex Tubings Limited,BE,11-APR-2001,10,1,INE144D01012,10
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2
CUPID,Cupid Limited,EQ,16-SEP-2016,10,1,INE509F01011,10
CURATECH,Cura Technologies Limited,EQ,30-MAY-2000,10,1,INE117B01012,10
CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,10,1,INE278G01037,10
CYBERTECH,Cybertech Systems And Software Limited,EQ,27-JAN-1999,10,1,INE214A01019,10
CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5
DAAWAT,LT Foods Limited,EQ,18-DEC-2006,1,1,INE818H01020,1
DALMIABHA,Dalmia Bharat Limited,EQ,27-JAN-2011,2,1,INE439L01019,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2,1,INE495A01022,2
DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5,1,INE365B01017,5
DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10
DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
DCBBANK,DCB BANK LIMITED,EQ,27-OCT-2006,10,1,INE503A01015,10
DCM,DCM  Limited,EQ,29-MAR-1995,10,1,INE498A01018,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2
DCW,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,10,1,INE583C01013,10
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1
DELTAMAGNT,Delta Magnets Limited,EQ,18-OCT-1995,10,1,INE393A01011,10
DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10
DENABANK,Dena Bank,EQ,15-JAN-1997,10,1,INE077A01010,10
DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10,1,INE680A01011,10
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2
DHARSUGAR,Dharani Sugars & Chemicals Limited,EQ,22-MAY-1996,10,1,INE988C01014,10
DHFL,Dewan Housing Finance Corporation Limited,EQ,01-OCT-2002,10,1,INE202B01012,10
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10
DIAPOWER,Diamond Power Infra Ltd,EQ,29-SEP-2010,10,1,INE989C01012,10
DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10
DISHMAN,Dishman Pharmaceuticals and Chemicals Limited,EQ,22-APR-2004,2,1,INE353G01020,2
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,EQ,06-OCT-2006,10,1,INE920A01011,10
DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2
DPL,Dhunseri Petrochem Limited,EQ,11-JAN-2008,10,1,INE477B01010,10
DQE,DQ Entertainment (International) Limited,EQ,20-JUN-2011,10,1,INE656K01010,10
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10,1,INE417B01040,10
DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,1,1,INE741L01018,1
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,10,1,INE366A01033,10
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10,1,INE221B01012,10
EASUNREYRL,Easun Reyrolle Limited,BE,08-NOV-2000,2,1,INE268C01029,2
ECEIND,ECE Industries Limited,EQ,24-SEP-2007,10,1,INE588B01014,10
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1,1,INE532F01054,1
EDUCOMP,Educomp Solutions Limited,EQ,13-JAN-2006,2,1,INE216H01027,2
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,10,1,INE066A01013,10
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10,1,INE276C01014,10
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2
EIMCOELECO,Eimco Elecon (India) Limited,BE,19-APR-2000,10,1,INE158B01016,10
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2
